No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
155,H_2S(1) (Spitzer),1.1771E-12,+/-1.369E-13,erg/s/cm^2^,1.76E13,0.00669,7.78E-4,7.78E-4,,,+/-7.78E-04,Jy,2014ApJ...790..124S,uncertainty,17.0 microns,Broad-band measurement,,From fitting to map,,From new raw data
160,20 microns (Spitzer),2148.1,,milliJy,1.5E13,2.15,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,20 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
161,W4 (WISE),0.644,+/-0.008,mag,1.36E13,4.62,0.0341,0.0341,,,+/-3.41E-02,Jy,2014A&A...570A.110Z,uncertainty,22.08 microns,Broad-band measurement,15 34 57.24 +23 30 11.4 (J2000),From fitting to map,,Averaged from previously published data
162,22 microns WISE AB,7.43,+/-0.10,mag,1.35E13,3.86,0.356,0.356,,,+/-3.56E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aper; PSF and filter curve corr",From new raw data; Extinction-corrected for Milky Way
163,22 microns WISE AB,7.14,+/-0.10,mag,1.35E13,5.05,0.465,0.465,,,+/-4.65E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
164,22 microns WISE AB,7.14,+/-0.10,mag,1.35E13,5.04,0.465,0.465,,,+/-4.65E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
165,22 microns WISE AB,7.43,+/-0.10,mag,1.35E13,3.86,0.355,0.355,,,+/-3.55E-01,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aper; PSF and filter curve corr",From new raw data
166,24 microns MIPS AB,7.03,+/-0.10,mag,1.28E13,5.57,0.513,0.513,,,+/-5.13E-01,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
167,24 microns MIPS AB,7.04,+/-0.10,mag,1.28E13,5.57,0.513,0.513,,,+/-5.13E-01,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
168,25 microns (ISO),8.28,+/-30  %,Jy,1.26E13,8.28,2.48,2.48,,,+/-2.48E+00,Jy,2001A&A...379..823K,uncertainty,25         microns,Broad-band measurement,,Flux in fixed aperture,"Aperture 52""",From new raw data
